Algorithm,Board Size,Best NFC,Mean NFC,Worst NFC,Total NFC,Success Rate
Genetic Algorithm,4,1,1.40,3,42,100.00
Genetic Algorithm,5,1,3.90,29,117,100.00
Genetic Algorithm,6,2,1584.07,3000,47522,50.00
Genetic Algorithm,7,4,1319.43,3000,39583,56.67
Genetic Algorithm,8,4,2150.17,3000,64505,30.00
Genetic Algorithm,9,14,1721.23,3000,51637,43.33
Genetic Algorithm,10,7,2508.27,3000,75248,16.67
Genetic Algorithm,11,89,2517.77,3000,75533,16.67
Genetic Algorithm,12,85,2237.13,3000,67114,26.67
Genetic Algorithm,13,64,2327.13,3000,69814,23.33
Genetic Algorithm,14,40,2619.40,3000,78582,13.33
Genetic Algorithm,15,92,2241.83,3000,67255,26.67
Genetic Algorithm,16,75,1879.13,3000,56374,40.00
Genetic Algorithm,17,99,2148.37,3000,64451,30.00
Genetic Algorithm,18,110,1885.10,3000,56553,40.00
Genetic Algorithm,19,45,1764.53,3000,52936,43.33
Genetic Algorithm,20,102,1874.47,3000,56234,43.33
Genetic Algorithm,21,127,2226.20,3000,66786,30.00
Genetic Algorithm,22,100,2311.80,3000,69354,26.67
Genetic Algorithm,23,152,2179.77,3000,65393,30.00
Genetic Algorithm,24,155,2559.47,3000,76784,16.67
Genetic Algorithm,25,115,2180.03,3000,65401,30.00
Genetic Algorithm,26,63,2279.73,3000,68392,26.67
Genetic Algorithm,27,97,1899.73,3000,56992,40.00
Genetic Algorithm,28,134,2169.23,3000,65077,30.00
Genetic Algorithm,29,138,2532.73,3000,75982,16.67
Genetic Algorithm,30,70,1539.33,3000,46180,56.67
Genetic Algorithm,31,159,1717.73,3000,51532,46.67
Genetic Algorithm,32,119,1904.07,3000,57122,43.33
Genetic Algorithm,33,63,1898.73,3000,56962,40.00
Genetic Algorithm,34,185,2098.97,3000,62969,33.33
Genetic Algorithm,35,160,1821.30,3000,54639,43.33
Genetic Algorithm,36,230,2244.70,3000,67341,30.00
Genetic Algorithm,37,170,1582.03,3000,47461,53.33
Genetic Algorithm,38,262,2459.30,3000,73779,23.33
Genetic Algorithm,39,203,2053.90,3000,61617,36.67
Genetic Algorithm,40,241,2007.97,3000,60239,40.00
Genetic Algorithm,41,188,1793.97,3000,53819,46.67
Genetic Algorithm,42,301,1975.47,3000,59264,43.33
Genetic Algorithm,43,182,2380.77,3000,71423,23.33
Genetic Algorithm,44,198,2021.70,3000,60651,43.33
Genetic Algorithm,45,232,2170.97,3000,65129,33.33
Genetic Algorithm,46,218,1844.60,3000,55338,50.00
Genetic Algorithm,47,208,2201.53,3000,66046,30.00
Genetic Algorithm,48,243,1759.37,3000,52781,46.67
Genetic Algorithm,49,213,2006.23,3000,60187,40.00
Genetic Algorithm,50,287,1472.50,3000,44175,60.00
Backtracking,4,9,9,9,9,100.00
Backtracking,5,6,6,6,6,100.00
Backtracking,6,32,32,32,32,100.00
Backtracking,7,10,10,10,10,100.00
Backtracking,8,114,114,114,114,100.00
Backtracking,9,42,42,42,42,100.00
Backtracking,10,103,103,103,103,100.00
Backtracking,11,53,53,53,53,100.00
Backtracking,12,262,262,262,262,100.00
Backtracking,13,112,112,112,112,100.00
Backtracking,14,1900,1900,1900,1900,100.00
Backtracking,15,1360,1360,1360,1360,100.00
Backtracking,16,10053,10053,10053,10053,100.00
Backtracking,17,5375,5375,5375,5375,100.00
Backtracking,18,41300,41300,41300,41300,100.00
Backtracking,19,2546,2546,2546,2546,100.00
Backtracking,20,199636,199636,199636,199636,100.00
Backtracking,21,8563,8563,8563,8563,100.00
Backtracking,22,1737189,1737189,1737189,1737189,100.00
Backtracking,23,25429,25429,25429,25429,100.00
Backtracking,24,411609,411609,411609,411609,100.00
Backtracking,25,48684,48684,48684,48684,100.00
Backtracking,26,397700,397700,397700,397700,100.00
Backtracking,27,454214,454214,454214,454214,100.00
Backtracking,28,3006299,3006299,3006299,3006299,100.00
Backtracking,29,1532240,1532240,1532240,1532240,100.00
Backtracking,30,56429620,56429620,56429620,56429620,100.00
Backtracking,31,13186251,13186251,13186251,13186251,100.00
Backtracking,32,87491426,87491426,87491426,87491426,100.00
Backtracking,33,139956637,139956637,139956637,139956637,100.00
